Tool Name,PDCA Category,Description,More Info
MoSCoW,Plan,A prioritization technique that helps teams decide which tasks to focus on.,
Five Ys,Plan,A root cause analysis method that asks 'Why' five times to find the root cause of an issue.,
VSM,Plan,Value Stream Mapping is used to analyze and improve the flow of materials and information.,
Flow Chart,Plan,A diagrammatic representation of a process showing steps and decision points.,
Six S’s,Plan,A workplace organization method derived from the 5S methodology adding 'Safety' as the sixth S.,
Process Map,Plan,A visual representation of a workflow that details steps and decision points.,
DMAIC,Plan,A Six Sigma methodology: Define  Measure  Analyze  Improve and Control.,
RACI,Plan,A matrix defining project roles: Responsible  Accountable  Consulted and Informed.,
Route Cause,Plan,A structured problem-solving method to identify the root cause of an issue.,
VOC,Plan,Voice of the Customer is a process to capture customer expectations and preferences.,
Gemba,Do,A Lean tool for observing work processes where they happen.,
Kaizen,Do,A continuous improvement methodology focusing on small incremental changes.,
SPC,Do,Statistical Process Control a method to monitor and control quality through data analysis.,
Kanban,Do,A visual system for managing work as it moves through a process.,
Pareto Chart,Do,A bar chart that highlights the most significant factors in a dataset.,
Regression,Do,A statistical method for modeling relationships between variables.,
Poka-yoke,Do,A Japanese term for 'mistake-proofing' in manufacturing and processes.,
SIPOC,Do,A Six Sigma tool that defines Suppliers Inputs  Process Outputs  and Customers,
FMEA,Do,Failure Modes and Effects Analysis is used to identify and mitigate process risks.,
Asana,Do,A project management tool for tracking tasks and workflows.,
Control Charts,Check,A statistical tool to track variation in a process over time.,
Check sheet,Check,A structured form for collecting and analyzing data.,
Dashboard,Check,A data visualization tool that provides insights into key metrics.,
X-Matrix,Check,A strategic tool linking objectives measures and improvements.,
Heat Map,Check,A data representation technique using color variations to indicate intensity.,
Estimation,Check,A process for predicting project timelines costs or resource needs.,
DPMO,Check,Defects Per Million Opportunities a Six Sigma quality metric.,
Benchmarking,Check,Comparing processes and performance metrics to best practices.,
Discovery,Check,The initial phase of a project to gather requirements and insights.,
Testing,Check,A process to evaluate performance quality and reliability.,
Deployment,Act,Ensures the solution is rolled out effectively and measured for success.,
Quality,Act,A focus on maintaining and improving standards in processes and products.,
Time,Act,Managing schedules and deadlines to ensure timely project completion.,
Comms,Act,Effective communication strategies for project success.,
TQM,Act,Total Quality Management a continuous process improvement methodology.,
Standard Work,Act,A Lean tool for documenting and maintaining best practices.,
Lessons,Act,Capturing and applying learnings from past projects.,
Risk Matrix,Act,A tool for assessing and prioritizing risks based on impact and likelihood.,
Stakeholders,Act,Managing relationships and expectations of key project participants.,
Change Mgt,Act,Strategies for implementing and adapting to change in an organization.,
